/atg/commerce/catalog/SecureProductCatalog:coverSku, ,TIMEFORMAT=M/d/yyyy h:mm a, ,LOCALE=en_US,
ID,acaBadge,additionalDetails,addedMaterialTypes,hasAdjustableHeadrest,hasAdjustableLumbar,altImages,archCoverAvlb,archwayID,atAGlanceContent,ar_enabled,auxiliaryMedia,bundleLinks,capCode,careFeatures,cleaningCode,collectionName,coverColor,colorDescription,colorNumber,commodityCode,colorFamilyImages,coverStatus,coverType,description,discountable,displayHeader,dynamicAttributes,endDate,faceContents,wtbFeatureImg1,wtbFeatureImg1Alt,wtbFeatureImg1Caption,wtbFeatureImg2,wtbFeatureImg2Alt,wtbFeatureImg2Caption,fractionalQuantitiesAllowed,fulfiller,grade,headerText,hasHeatMassage,hideAGlance,hideForCA,hideStillDeciding,hideForTextSearch,skuDocUrl,isPillowOptions,itemAcl,largeImage,wtbLeftImg,hasLiftFunction,linkDescription,listPrice,madeInUSABadge,manufacturer_part_number,mostPopular,isNew,nonreturnable,numberOfCushions,onSale,onlineExclusive,onlineExclusiveText,onlineOnly,patternName,pdpDefaultImage,perfectForInfo,performanceFabricFlag,cdpDefaultImage,cdpMouseOverImage,hasPower,productCategoryCode,prodCategoryDesc,belowFoldVideoMedia,isPurchaseable,quantity,fixedReplacementProducts,romanceCopy,salePrice,series,showOnline,dimensionImage,isSleeper,smallImage,sortOrder,startDate,status,stillDecidingLinks,hasStorage,template,thumbnailImage,unitOfMeasure,unsearchable,hasUsbChargingPort,useCareInstructions,belowFoldHowToMedia,videos,warrantyInfo,wearDatedId,wearability,wholesalePrice
D180086,false,,,,,,false,,,false,,,DR,,W,Floyd Special Project,86,Twilight,,,,O,fabric,Floyd Special Project,true,,,,100% Polyester,,,,,,,,,D,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,,,,false,,,,FL,,,false,,,,,1800,false,,,,,,D,,,,,,true,,,,,,,2,
LB143687,false,,,,,,false,,,,,,LM,,L,Out-sourced Sets,87,Ink,87,LH,,O,leather,,true,,,,Leather/Vinyl,,,,,,,,,LB,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,,,,false,,,,OS,,,false,,,,,1436,false,,,,,,D,,,,,,true,,,,,,,8,
LB143677,false,,,,,,false,,,,,,LM,,L,Out-sourced Sets,77,Chestnut,77,LH,,O,leather,,true,,,,Leather/Vinyl,,,,,,,,,LB,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,,,,false,,,,OS,,,false,,,,,1436,false,,,,,,D,,,,,,true,,,,,,,8,
B143987,false,Normal Fabric,,,,,false,SM6ZB143987,,,,,DR,,WS,Major Upholstery,87,Flannel,87,CL,,A,fabric,"With a heathered, chunky look that’s right on trend, and a welcoming, soft texture, this body cloth achieves a trio of attractive qualities. Making a match will be a cinch with these easily blended, adaptable heathered tones.",true,,,,100% Polyester,,,,,,,,,B,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Frank,,,false,,,,MU,,,false,,,,,1439,false,,,,4,,D,,,,,,true,,,,,,,2,
J154672,false,,,,,,false,,,,,,VS,,S,Major Upholstery,72,Dove,72,CL,,A,fabric,Pattern Pepperdine is a stripe pattern incorporating a boucle texture overlaying a soft background. This pattern is a perfect complement to all settings and is colored to appeal to the most sophisticated pallet. Pepperdine is made in the USA.,true,,,,"45% Polyester,42% Acrylic,5% Olefin,4% Cotton,4% Rayon",,,,,,,,,J,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Secondary,,,false,,,,MU,,,false,,,,,1546,false,,,,,,D,,,,,,true,,,,,,,2,
LB143668,false,,,,,,false,,,,,,LM,,L,Out-sourced Sets,68,Dusk,68,LH,,O,leather,,true,,,,Leather/Vinyl,,,,,,,,,LB,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,,,,false,,,,OS,,,false,,,,,1436,false,,,,,,D,,,,,,true,,,,,,,8,
G167344,false,,,,,,false,,,,,,DR,,WS,Major Upholstery,44,Amber,,,,A,fabric,"This transitional design has a casual feel thanks to the novelty slub yarn. The sheen from the yarns in the figure adds sophistication and gives this fabric a wonderful hand. Twinkle Twinkle provides a modern, pop of color for a stunning accent.",true,,,,100% Polyester,,,,,,,,,G,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Accents,,,false,,,,MU,,,false,,,,,1673,false,,,,,,D,,,,,,true,,,,,,,3,
J132687,false,,,,,,false,,,,,,DR,,W,Major Upholstery,87,Amethyst,87,CL,,A,fabric,"One of Van Gogh’s favorite quotes was “great things are accomplished by a series of small things done really well”. This perfectly describes the new jacquard Van Gogh. The colorations, scale and balance are combinations of complimentary harmony.",true,,,,100% Polyester,,,,,,,,,J,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Florals,,,false,,,,MU,,,false,,,,,1326,false,,,,,,D,,,,,,true,,,,,,,2,
G167850,false,,,,,,false,,,,,,UR,,WS,Major Upholstery,50,Blacktie,,,,A,fabric,Piet was inspired by artist Piet Mondrian who mastered the simple geometric elements of composition. The modern simplicity of Piet is perfect for decorative accent pillows and chairs.,true,,,,100% Polyester,,,,,,,,,G,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Plaids & Stripes,,,false,,,,MU,,,false,,,,,1678,false,,,,,,D,,,,,,true,,,,,,,2,
Q177546,false,,,,,,false,,,false,,,NP,,S,Major Upholstery,46,Brass,,,,A,fabric,Major Upholstery,true,,,,"45.5% Polyester, 33.2% Cotton, 21.3% Rayon",,,,,,,,,Q,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,,,,false,,,,MU,,,false,,,,,1775,false,,,,,,D,,,,,,true,,,,,,,2,
D162608,false,,,,,,false,,,,,,DR,,WS,Major Upholstery,08,Burgundy,,,,A,fabric,"A deep, textured print on a knit base cloth, Timber’s plush and substantial feel makes it a perfect fit for any home environment.",true,,,,100% Polyester,,,,,,,,,D,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Solids,,,false,,,,MU,,,false,,,,,1626,false,,,,,,D,,,,,,true,,,,,,,2,
J161716,false,,,,,,false,,,,,,DR,,S,Major Upholstery,16,Canyon,,,,A,fabric,"Refracted is a combination of different shapes and sizes of triangles creating a unique contemporary patchwork design. Refracted is great for all family room settings. Multiple shades of color, allow for easy mix and match in many color schemes.",true,,,,"63% Polyester,37% Rayon",,,,,,,,,J,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Modern,,,false,,,,MU,,,false,,,,,1617,false,,,,,,D,,,,,,true,,,,,,,2,
B142077,false,,,,,,false,,,,,,DR,,W,Major Upholstery,77,Caramel,77,CL,,A,fabric,"Holden is woven with special yarns that gives this semi-plain fabric visual interest plus a soft hand. The subtle mingle of color, coordinates well with many ""Life Style"" room settings and other more decorative fabrics.",true,,,,100% Polyester,,,,,,,,,B,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Solids,,,false,,,,MU,,,false,,,,,1420,false,,,,,,D,,,,,,true,,,,,,,2,
D167555,false,,,,,,false,,,,,,DR,,S,Major Upholstery,55,Castle,,,,A,fabric,Pattern Tetris features simple lines etched on light and neutral grounds. This simple but elegant fabric is woven in a well-balanced flowing pattern crafted in minimalist style. Tetris is an ideal choice for adding smart style and works in any room.,true,,,,"92% Polyester,8% Cotton",,,,,,,,,D,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Secondary,,,false,,,,MU,,,false,,,,,1675,false,,,,,,D,,,,,,true,,,,,,,2,
B157757,false,,,,,,false,,,,,,UR,,WS,Chair,57,Charcoal,,,,A,fabric,"With its soft feel and appealing texture, Denali is a wonderful printed velvet. This pattern creates harmonious and handsome colorways. Denali uses a slight ribbed texture, enhancing its fantastic hand.",true,,,,100% Polyester,,,,,,,,,B,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Secondary,,,false,,,,CH,,,false,,,,,1577,false,,,,,,D,,,,,,true,,,,,,,2,
C158587,false,,,,,,false,,,,,,DR,,WS,Major Upholstery,87,Cobalt,,CL,,A,fabric,"Darby features textured, natural looking two-toned yarns and a special weave designed to create the natural appearance of a handwoven grass cloth. This handsome base cloth adds simple sophistication to any room setting from Classic to Modern.",true,,,,100% Polyester,,,,,,,,,C,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Solids,,,false,,,,MU,,,false,,,,,1585,false,,,,,,D,,,,,,true,,,,,,,2,
