skuId,ref_row_count,source_rows,issues_union,patternName,colorName,coverType
BL211758,1,MASTER LEATHER:44,,Majestic Match,Coal,leather
BL211763,1,MASTER LEATHER:44,,Majestic Match,Stonewash,leather
BL211773,1,MASTER LEATHER:44,,Majestic Match,Butternut,leather
BL211778,1,MASTER LEATHER:44,,Majestic Match,Chocolate,leather
BL211786,1,MASTER LEATHER:44,,Majestic Match,Blue,leather
D214032,1,MASTER FABRICS:112,,i-Eugene,Linen,fabric
D214060,1,MASTER FABRICS:112,,i-Eugene,Wind,fabric
D214063,1,MASTER FABRICS:112,,i-Eugene,Hemp,fabric
D214074,1,MASTER FABRICS:112,,i-Eugene,Cocoa,fabric
D214083,1,MASTER FABRICS:112,,i-Eugene,Lake,fabric
DL213059,1,MASTER LEATHER:21,,Atlantis,Ash,leather
DL213073,1,MASTER LEATHER:21,,Atlantis,Russet,leather
DL213077,1,MASTER LEATHER:21,,Atlantis,Dark Brown,leather
DL213086,1,MASTER LEATHER:21,,Atlantis,Marine,leather
LB213659,1,MASTER LEATHER:22,,Bellingham,Coal,leather
LB213679,1,MASTER LEATHER:22,,Bellingham,Moreno,leather
LB213758,1,MASTER LEATHER:49,,Rhythmic,Charcoal,leather
LB213777,1,MASTER LEATHER:49,,Rhythmic,Mocha,leather
